src,dst,sample_count,avg_latency_ms
192.168.88.1,192.168.1.1,14,8.1
192.168.1.1,27.71.251.140,14,15.71
27.71.251.140,10.255.39.147,14,15.22
10.255.39.147,27.68.237.130,14,11.26
27.68.237.130,125.212.189.28,14,39.06
125.212.189.28,203.131.241.153,9,63.96
203.131.241.153,129.250.2.254,7,39.44
129.250.2.254,129.250.5.255,9,74.25
129.250.5.255,4.68.75.93,9,78.73
4.68.75.93,65.59.223.50,6,265.64
65.59.223.50,50.6.131.2,8,279.68
50.6.131.2,216.172.171.109,13,299.47
4.68.75.93,4.69.214.194,1,247.42
4.69.214.194,65.59.223.50,1,263.18
4.68.75.93,216.172.171.109,1,396.57
125.212.189.28,129.250.2.254,4,160.56
129.250.2.254,4.68.75.93,1,163.43
4.68.75.93,50.6.131.2,2,379.43
203.131.241.153,129.250.5.255,2,158.44
129.250.5.255,50.6.131.2,2,374.25
192.168.88.1,192.168.88.1,1,78.3
125.212.189.28,129.250.5.255,1,140.18
129.250.5.255,65.59.223.50,1,368.8
129.250.2.254,50.6.131.2,1,372.85
